"code","name","CC_1","CC_2","class","classF"
"AS154","Palah Basin Aquifer","IDN","MYS","UB","UB"
"AS155","Jayapura Basin Aquifer","IDN","PNG","UB","UB"
"AS156","Besikama Basin Aquifer","IDN","TLS","UB","DA"
"AS157","Eocene Aquifer","ISR","LBN","IU1","BL"
"AS158","Indo-Gangetic Basin alluvial aquifer system","BGD","IND","DA","DA"
"AS158","Indo-Gangetic Basin alluvial aquifer system","IND","NPL","DA","DA"
"AS158","Indo-Gangetic Basin alluvial aquifer system","IND","PAK","DA","DA"
"AS159","Eastern Mountain Aquifer","ISR","PSE","UB","BL"
"AS160","Sinai?Negev Basin","EGY","ISR","UB","UB"
"AS161","Arava Valley / Wadi Araba Alluvial Aquifer","ISR","JOR","IU1","BL"
"C001","Soconusco-Suchiate / Coatán","GTM","MEX","UB","BL"
"C002","Chicomuselo-Cuilco / Selegua","GTM","MEX","UB","DA"
"C003","Ocosingo-Usumacinta-Pocóm-Ixcán","GTM","MEX","UB","UB"
"C004","Márquez de Comillas-Chixoy / Xaclbal","GTM","MEX","UB","UB"
"C005","Boca del Cerro-San Pedro","GTM","MEX","UB","UB"
"C006","Trinitaria-Nentón","GTM","MEX","UB","DA"
"C007","Península de Yucatán-Candelaria-Hondo","BLZ","GTM","IU1","IU1"
"C007","Península de Yucatán-Candelaria-Hondo","BLZ","MEX","BL","BL"
"C007","Península de Yucatán-Candelaria-Hondo","GTM","MEX","IU1","IU1"
"C008","Mopán-Belice","BLZ","GTM","UB","UB"
"C009","Pusila-Moho","BLZ","GTM","IU0","IU0"
"C010","Sarstún","BLZ","GTM","IU1","IU1"
"C011","Temash","BLZ","GTM","IU0","IU0"
"C012","Delta del Río Motagua","GTM","HND","IU1","IU1"
"C013","Chiquimula - Copán Ruinas","GTM","HND","UB","UB"
"C014","Ocotepeque-Citala","HND","SLV","IU1","IU1"
"C015","Ostua-Metapán","GTM","SLV","UB","DA"
"C016","Río Paz","GTM","SLV","UB","DA"
"C017","Estero Real-Río Negro","HND","NIC","DA","DA"
"C018","Sixaola / Salinas Aquifer","CRI","PAN","UB","UB"
"CB001","Plaine du Nord?Massacre","DOM","HTI","BL","BL"
"CB002","Artibonito","DOM","HTI","DA","DA"
"CB003","Los Lagos","DOM","HTI","UB","BL"
"CB004","Pedernales","DOM","HTI","IU1","IU1"
"EB010 - EB012","Cerknica / Kupa Aquifer; Ko?evje Goteni?ka Gora Aquifer; Radovica-Metlika / Zumberak Aquifer","HRV","SVN","IU1","IU1"
"EB013","Ormo?-Sredi??e ob Drava / Drava-Vara?din Aquifer","HRV","SVN","IU1","BL"
"EB014 - EB015","Bregana-Obre?je / Sava-Samobor","HRV","SVN","UB","UB"
"EB016 - EB021","Bizeljsko / Sutla Aquifer (Bo?, Roga?ka, Atomske Toplice, Bohor, Orlica Aquifers)","HRV","SVN","IU1","IU1"
"EB022","Dolinsko-Ravensko / Mura Aquifer","HRV","SVN","IU1","BL"
"EB023","Kupa Aquifer","BIH","HRV","IU1","IU1"
"EB024","Una","BIH","HRV","IU1","BL"
"EB025","Krka","BIH","HRV","IU1","BL"
"EB026","Cetina","BIH","HRV","UB","DA"
"EB027","Neretva","BIH","HRV","UB","BL"
"EB028","Trebi?njica","BIH","HRV","UB","BL"
"EB029","Dinaric Littoral (West Coast aquifer)","HRV","MNE","IU1","UB"
"EB030","Bile?ko Lake","BIH","MNE","IU1","DA"
"EB031","Posavina I / Sava Aquifer","BIH","HRV","UB","BL"
"EB032","Srem-West Srem / Sava Aquifer","HRV","SRB","UB","DA"
"EB033","South Western Backa / Dunav Aquifer","HRV","SRB","UB","BL"
"EB034","Mura Aquifer","HRV","HUN","IU0","BL"
"EB035","Drava / Drava West Aquifer","HRV","HUN","UB","BL"
"EB036","Northeast Backa / Danube -Tisza Interfluve or Backa / Danube-Tisza Interfluve Aquifer","HRV","HUN","IU0","BL"
"EB040","Mures / Maros alluvial fan aquifer","HUN","ROU","DA","DA"
"EB041","Körös Valley, Sárrét, Shallow Cri?uri aquifer","HUN","ROU","DA","DA"
"EB042 - EB043","Körös ? Cri?uri holocene, pleistocene transboundary aquifer (Hortobágy-Nagykunság Bihar Northern Part)","HUN","ROU","IU1","BL"
"EB044","Skadar / Shkoder Lake, Dinaric East Coast Aquifer","ALB","MNE","DA","DA"
"EB046","Nyírség, keleti rész / Nyírség, east margin aquifer","HUN","ROU","BL","DA"
"EB047","Somes / Szamos alluvial fan aquifer","HUN","ROU","DA","DA"
"EB049","Tara Massif","BIH","SRB","UB","UB"
"EB050","Lim Aquifer","MNE","SRB","UB","UB"
"EB051","Pe?ter Aquifer","MNE","SRB","IU0","IU1"
"EB052","Metohija Aquifer","MNE","SRB","IU0","IU0"
"EB052","Metohija Aquifer","MNE","XKX","IU0","IU0"
"EB052","Metohija Aquifer","SRB","XKX","IU0","IU0"
"EB053","Beli Drim / Drini i Bardhë Aquifer","ALB","XKX","UB","DA"
"EB054","Tetovo-Gostivar","MKD","XKX","UB","BL"
"EB055","Korab / Bistra - Stogovo Aquifer","ALB","MKD","IU0","IU0"
"EB056","Jablanica / Golobordo Aquifer","ALB","MKD","IU1","UB"
"EB057","Prespa and Ohrid Lake Aquifer","ALB","GRC","DA","DA"
"EB057","Prespa and Ohrid Lake Aquifer","ALB","MKD","DA","DA"
"EB057","Prespa and Ohrid Lake Aquifer","GRC","MKD","DA","DA"
"EB059","Mourgana Mountain / Mali I Gjerë Aquifer","ALB","GRC","IU0","IU1"
"EB061","Nemechka / Vjosa-Pogoni Aquifer","ALB","GRC","IU1","IU1"
"EB062","Pelagonia - Florina / Bitolsko Aquifer","GRC","MKD","DA","DA"
"EB063","Systima Axiou","GRC","MKD","DA","DA"
"EB064 - EB066","Dojran / Doirani Lake aquifer","GRC","MKD","IU1","BL"
"EB067 - EB069","Sandansky-Petrich Aquifer ; Sandansky Valley Aquifer ; Petrich Valley Aquifer","BGR","GRC","IU1","BL"
"EB067 - EB069","Sandansky-Petrich Aquifer ; Sandansky Valley Aquifer ; Petrich Valley Aquifer","BGR","MKD","IU1","BL"
"EB067 - EB069","Sandansky-Petrich Aquifer ; Sandansky Valley Aquifer ; Petrich Valley Aquifer","GRC","MKD","BL","DA"
"EB070","The former Yugoslav Republic of Macedonia - Central Serbia","MKD","XKX","DA","DA"
"EB071","The former Yugoslav Republic of Macedonia - SW Serbia","MKD","SRB","BL","DA"
"EB072","Zemen","BGR","SRB","IU0","IU1"
"EB073","Stara Planina / Salasha Montana Aquifer","BGR","SRB","UB","DA"
"EB075","Miroc & Golubac","ROU","SRB","IU0","IU0"
"EB076","Dacian Basin","ROU","SRB","BL","BL"
"EB077","Orvilos-Agistros / Gotze Delchev aquifer","BGR","GRC","IU0","BL"
"EB078","Nastan-Trigrad","BGR","GRC","IU0","IU0"
"EB079","Smolyan","BGR","GRC","IU1","UB"
"EB080","Rudozem","BGR","GRC","IU1","UB"
"EB081","Erma Reka","BGR","GRC","IU0","IU0"
"EB082","Evros / Meriç","GRC","TUR","BL","DA"
"EB083","Orestiadas System","BGR","GRC","IU1","BL"
"EB083","Orestiadas System","BGR","TUR","IU1","BL"
"EB083","Orestiadas System","GRC","TUR","IU0","BL"
"EB085","Topolovgrad Massif Aquifer","BGR","TUR","IU1","DA"
"EB086","Malko Tarnovo Karst waterbearing massif","BGR","TUR","IU0","IU1"
"EB087","Dobrudja / Dobrogea Neogene  Sarmatian aquifer","BGR","ROU","DA","DA"
"EB088","Dobrudja / Dobrogea Upper Jurassic - Lower Cretaceous Aquifer","BGR","ROU","DA","DA"
"EB089","Danube-Prut","MDA","ROU","UB","DA"
"EB089","Danube-Prut","MDA","UKR","UB","DA"
"EB089","Danube-Prut","ROU","UKR","BL","DA"
"EB090","Middle Sarmantian Pontian Aquifer","MDA","ROU","IU1","BL"
"EB091","Prut","MDA","ROU","UB","DA"
"EB092","Piva","BIH","MNE","IU0","IU0"
"EB093","Cijevna / Cemi Aquifer","ALB","MNE","IU1","BL"
"EU001","Low Miño / Minho","ESP","PRT","UB","UB"
"EU008","Ciudad Rodrigo","ESP","PRT","IU1","IU1"
"EU010","Detrital Aquifer of the Guadiana Middle Basin","ESP","PRT","BL","BL"
"EU024","Nappe du Genevois","CHE","FRA","UB","BL"
"EU035","Thermalwasser im Tiefen Malmkarst des südbayerischen und oberösterreichischen Molassebeckens","AUT","DEU","DA","DA"
"EU073","Gori?ko Aquifer; Mura - Zala Basin / Radgona - Va? Aquifer; Kot Aquifer","AUT","HUN","UB","DA"
"EU073","Gori?ko Aquifer; Mura - Zala Basin / Radgona - Va? Aquifer; Kot Aquifer","AUT","SVN","DA","DA"
"EU073","Gori?ko Aquifer; Mura - Zala Basin / Radgona - Va? Aquifer; Kot Aquifer","HRV","HUN","IU1","BL"
"EU073","Gori?ko Aquifer; Mura - Zala Basin / Radgona - Va? Aquifer; Kot Aquifer","HRV","SVN","IU1","BL"
"EU073","Gori?ko Aquifer; Mura - Zala Basin / Radgona - Va? Aquifer; Kot Aquifer","HUN","SVN","UB","DA"
"EU077","Szigetköz, Hanság-Rábca / Podunajska Basin, Zitny Ostrov","HUN","SVK","DA","DA"
"EU081","Ipoly Völgy / Alúvium Ipla","HUN","SVK","UB","BL"
"EU082","Slovensky Kras / Aggtelek Aquifer","HUN","SVK","IU1","IU1"
"EU083","Bodrog Aquifer","HUN","SVK","DA","DA"
"EU084","Siret","ROU","UKR","UB","DA"
"EU085","Dniester","MDA","UKR","UB","DA"
"EU086; EU088 - EU089","Cenomanian Terringeous Aquifer; Upper Proterozoic Terringenous Aquifer; Pripyat","BLR","UKR","UB","DA"
"EU087; EU094","Paleogene-Neogene Terringenous Aquifer; Cenomanian Carbonate-Terrigenous Aquifer","BLR","UKR","IU0","IU0"
"EU095 - EU098","Aquifers in Quaternary Deposits; Oxfordian-Cenomanian Carbonate-Terrigenous Aquifer; Mazursko-Podlaski Aquifer; Upper Cretaceous Aquifer","BLR","LTU","UB","DA"
"EU095 - EU098","Aquifers in Quaternary Deposits; Oxfordian-Cenomanian Carbonate-Terrigenous Aquifer; Mazursko-Podlaski Aquifer; Upper Cretaceous Aquifer","BLR","POL","UB","DA"
"EU095 - EU098","Aquifers in Quaternary Deposits; Oxfordian-Cenomanian Carbonate-Terrigenous Aquifer; Mazursko-Podlaski Aquifer; Upper Cretaceous Aquifer","LTU","POL","UB","DA"
"EU095 - EU098","Aquifers in Quaternary Deposits; Oxfordian-Cenomanian Carbonate-Terrigenous Aquifer; Mazursko-Podlaski Aquifer; Upper Cretaceous Aquifer","LTU","RUS","UB","DA"
"EU095 - EU098","Aquifers in Quaternary Deposits; Oxfordian-Cenomanian Carbonate-Terrigenous Aquifer; Mazursko-Podlaski Aquifer; Upper Cretaceous Aquifer","POL","RUS","UB","DA"
"EU099","Daugava","BLR","LTU","UB","DA"
"EU099","Daugava","BLR","LVA","UB","DA"
"EU099","Daugava","BLR","RUS","UB","UB"
"EU099","Daugava","LTU","LVA","UB","DA"
"EU099","Daugava","LVA","RUS","UB","UB"
"EU108","Cambrian-Ordovician Aquifer System","EST","RUS","UB","DA"
"EU109","Cambrian-Vendian-Voronka Aquifer System","EST","RUS","UB","DA"
"EU112","Upper Devonian Terrigenous-Carbonate Aquifer","BLR","RUS","IU0","IU0"
"EU123","Kanunkankaat Aquifer","FIN","RUS","IU0","IU0"
"EU282","Upper Pannonian Thermal Aquifer","AUT","HUN","DA","DA"
"EU282","Upper Pannonian Thermal Aquifer","AUT","SVK","DA","DA"
"EU282","Upper Pannonian Thermal Aquifer","AUT","SVN","DA","DA"
"EU282","Upper Pannonian Thermal Aquifer","HRV","HUN","IU1","IU1"
"EU282","Upper Pannonian Thermal Aquifer","HRV","SVN","IU1","IU1"
"EU282","Upper Pannonian Thermal Aquifer","HUN","SVK","DA","DA"
"EU282","Upper Pannonian Thermal Aquifer","HUN","SVN","DA","DA"
"EU284","Quaternary aquifer system; Upper-Devonian (P?avi?as?Ogre) aquifer system; Upper-Middle-Devonian (Aruküla?Amata) aquifer system; Lower-Middle-Devonian aquifer system","EST","LVA","UB","DA"
"EU301","Quartair en pliomioceenzand van de Schelde / Sables quaternaires et plio-miocènes de l'Escaut","BEL","NLD","BL","BL"
"EU302","Quartair en oligoceenzand in de polders / Sables quaternaires et oligocènes des polders","BEL","NLD","UB","UB"
"EU303","Quartair en oligoceenzand aan de kust / Sables quaternaires et oligocènes de la côte","BEL","NLD","DA","DA"
"EU304","Duinen en polders Oost-Vlaanderen / Dunes et polders de Flandre Orientale","BEL","NLD","UB","UB"
"EU305","Duinen en kustgebieden / Dunes et zones côtières","BEL","NLD","IU1","IU1"
"EU306","Kempens zand / Sables de Campine","BEL","NLD","DA","DA"
"EU307","Oligoceenzand / Sables Oligocènes","BEL","NLD","DA","DA"
"EU308","Alluviale afzettingen van het Pleistoceen / Dépôts alluviaux du Pléistocène","BEL","NLD","DA","DA"
"EU309","Zandlaag van Orchies / Sables d'Orchies","BEL","FRA","BL","BL"
"EU310","Vlaamse zandlaag / Sables des Flandres","BEL","FRA","DA","BL"
"EU311","Kolenkalk / Calcaires du Carbonifère","BEL","FRA","BL","BL"
"EU312","Krijtlaag van de Deûle / Craie de la Deûle","BEL","FRA","UB","UB"
"EU313","Krijtlaag Valenciennes-Bergen / Craies de Valenciennes-Mons","BEL","FRA","BL","BL"
"EU314","Magnor / Kortlanda-Eda glasbruk","NOR","SWE","IU0","IU0"
"EU315","Svullrya / Lekvattnet-Rottnemon","NOR","SWE","IU0","IU0"
"EU317","Petzen / Peca (part of the Karawanken / Karavanke transboundary groundwater body)","AUT","SVN","IU0","IU0"
"EU318","Uschowa / Ol?eva (part of the Karawanken / Karavanke transboundary groundwater body)","AUT","SVN","IU0","IU0"
"EU319","Koschuta / Ko?uta (part of the Karawanken / Karavanke transboundary groundwater body)","AUT","SVN","IU0","IU0"
"EU320","Westliche Karawanken / Kepa (part of the Karawanken / Karavanke transboundary groundwater body)","AUT","SVN","IU0","IU0"
"EU321","Vellacher Kotschna / Bela (part of the Karawanken / Karavanke transboundary groundwater body)","AUT","SVN","IU0","IU0"
"EU322","Sliv Kvarnerskog zaljeva / Obmo?je Kvarnerskega zaliva","HRV","SVN","IU1","IU1"
"EU323","Sliv Reke / Obmo?je Reke","HRV","SVN","IU0","IU0"
"EU324","Sliv izvora Rije?ine i Grobni?kog polja / Obmo?je izvira Rije?ine in Grobni?kega polja","HRV","SVN","IU0","IU0"
"EU325","Sliv Ri?ane / Obmo?je Ri?ane","HRV","SVN","IU0","IU0"
"EU326","Sliv Dragonje / Obmo?je Dragonje","HRV","SVN","UB","UB"
"EU327","Sliv izvora u gradu Rijeci / Obmo?je izvirov v mestu Reka","HRV","SVN","IU1","IU1"
"EU329","Sliv izvora Sv. Ivan / Obmo?je izvira Sv. Ivan","HRV","SVN","IU0","IU0"
"EU332","Sliv izvora Bula? / Obmo?je izvira Bula?","HRV","SVN","IU0","IU1"
"EU334","Sliv Bra?ane / Obmo?je Bra?ane","HRV","SVN","IU0","IU0"
"EU336","Aquifère du Rhin Supérieur / Oberrheinaquifer","CHE","DEU","UB","UB"
"EU336","Aquifère du Rhin Supérieur / Oberrheinaquifer","CHE","FRA","UB","UB"
"EU336","Aquifère du Rhin Supérieur / Oberrheinaquifer","DEU","FRA","DA","DA"
"EU337","Quaternary, Lower Neogene and Upper Cretaceous sediments in the transboundary Bug, San and Dniester River Basins","POL","UKR","UB","DA"
"EU338","Usedom / Uznam Island Quaternary Aquifer","DEU","POL","UB","UB"
"EU339","Upper Pannonian-Lower Pleistocene / Vojvodina / Duna-Tisza köze déli r.","HUN","ROU","DA","DA"
"EU339","Upper Pannonian-Lower Pleistocene / Vojvodina / Duna-Tisza köze déli r.","HUN","SRB","DA","DA"
"EU339","Upper Pannonian-Lower Pleistocene / Vojvodina / Duna-Tisza köze déli r.","ROU","SRB","DA","DA"
"EU340","Komár?anská Kryha / Dunántúli-khgs. Északi r.","HUN","SVK","BL","DA"
"N001","Abbotsford-Sumas","CAN","USA","BL","BL"
"N002","Okanagan-Osoyoos","CAN","USA","UB","DA"
"N003","Grand Forks","CAN","USA","IU0","IU1"
"N004","Eastend-Ravenscrag (Poplar)","CAN","USA","IU1","DA"
"N005","Estevan Valley Aquifer System","CAN","USA","IU1","DA"
"N007","Châteauguay","CAN","USA","IU1","IU1"
"N008","Tijuana - San Diego Aquifer","MEX","USA","UB","BL"
"N012","Nogales-Rio Santa Cruz Aquifer / Upper Santa Cruz Basin","MEX","USA","DA","DA"
"N013","Rio San Pedro Aquifer / Upper San Pedro Basin","MEX","USA","UB","DA"
"N014","Conejos Medanos Aquifer / Mesilla Bolson","MEX","USA","DA","DA"
"N015","Valle de Juarez Bolson / Hueco-Tularosa Bolson","MEX","USA","BL","BL"
"N018","Las Palmas Aquifer / Mimbres Basin","MEX","USA","DA","DA"
"N019","Judith River","CAN","USA","DA","DA"
"N020","Milk River","CAN","USA","DA","DA"
"N021","Richelieu/Lake Champlain and Yamaska","CAN","USA","DA","DA"
"N022a","Northern Great Plains - Upper Cretaceous Aquifer System","CAN","USA","UB","DA"
"N022b","Northern Great Plains - Lower Tertiary Aquifer System","CAN","USA","UB","DA"
"N025","Laguna Salada Aquifer / Coyote Wells Valley","MEX","USA","IU0","IU0"
"N026","Valle de Mexicali - San Luis Rio Colorado Aquifer / Yuma - Imperial Valley","MEX","USA","DA","DA"
"N031","Sonoyta-Puerto Penasco Aquifer","MEX","USA","IU1","IU1"
"N035","La Abra Plain","MEX","USA","IU1","IU1"
"N041","San Simon Wash","MEX","USA","IU0","IU0"
"N045","Rio Altar Aquifer","MEX","USA","IU1","IU1"
"N048","Rio Agua Prieta Aquifer / Douglas Basin","MEX","USA","BL","BL"
"N053","Janos Aquifer / Playas Basin","MEX","USA","DA","DA"
"N055","Ascension Aquifer / Hachita Moscos Basin","MEX","USA","BL","BL"
"N057","Potrillo Mountains","MEX","USA","IU0","IU0"
"N059","Red Light Draw Bolson","MEX","USA","IU0","IU0"
"N061","Green River Valley Bolson","MEX","USA","IU0","IU0"
"N062","Presidio Bolson","MEX","USA","BL","BL"
"N063","Redford Bolson","MEX","USA","BL","BL"
"N068","Edwards Aquifer","MEX","USA","UB","UB"
"N069","Santa Fe del Pino Aquifer","MEX","USA","IU0","IU0"
"N070","Serrania del Burro Aquifer","MEX","USA","IU0","IU0"
"N071","Austin Formation / Austin Chalk","MEX","USA","IU0","IU1"
"N075","Presa La Amistad Aquifer","MEX","USA","UB","BL"
"N076","Allende-Piedras Negras Aquifer","MEX","USA","DA","BL"
"N082","Carrizo-Wilcox Aquifer","MEX","USA","IU1","IU1"
"N088","Baja de Rio Bravo / Gulf Coast Aquifer","MEX","USA","DA","DA"
"S001","Choco-Darién","COL","PAN","IU0","IU0"
"S002","Táchira Pamplonita","COL","VEN","UB","UB"
"S003","La Guajira","COL","VEN","UB","UB"
"S004","Grupo Roraima","BRA","GUY","IU0","IU0"
"S004","Grupo Roraima","BRA","VEN","IU1","IU1"
"S004","Grupo Roraima","GUY","VEN","IU1","IU1"
"S005","Boa Vista-Serra do Tucano-North Savanna","BRA","GUY","UB","UB"
"S006","Upper Sand / Zanderij","FRA","SUR","UB","UB"
"S006","Upper Sand / Zanderij","GUY","SUR","IU1","IU1"
"S007","Coesewijne","GUY","SUR","UB","DA"
"S008","A-Sand/B-Sand","GUY","SUR","UB","DA"
"S009","Aquífero litorâneo / Aquifères sédimentaires de la bande côtière","BRA","FRA","IU1","IU1"
"S010","Tulcán-Ipiales","COL","ECU","UB","UB"
"S011","Zarumilla","ECU","PER","UB","UB"
"S012","Puyango-Tumbes-Catamayo-Chira","ECU","PER","UB","DA"
"S013","Amazonas","BOL","BRA","UB","UB"
"S013","Amazonas","BOL","PER","UB","UB"
"S013","Amazonas","BRA","COL","UB","UB"
"S013","Amazonas","BRA","PER","UB","UB"
"S013","Amazonas","COL","ECU","UB","UB"
"S013","Amazonas","COL","PER","UB","UB"
"S013","Amazonas","COL","VEN","UB","UB"
"S013","Amazonas","ECU","PER","UB","UB"
"S014","Titicaca","BOL","PER","DA","DA"
"S015","Pantanal","BOL","BRA","UB","UB"
"S015","Pantanal","BOL","PRY","UB","UB"
"S015","Pantanal","BRA","PRY","UB","UB"
"S016","Agua Dulce","BOL","PRY","IU0","IU0"
"S017","Salar de Ollagüe / Pastos Grandes","BOL","CHL","IU0","IU0"
"S018","Caplina-Concordia Aquifer System","CHL","PER","IU1","IU1"
"S019","Aquidauana-Aquidabán","BRA","PRY","UB","UB"
"S020","Caiua-Bauru-Acaray Aquifer","BRA","PRY","UB","UB"
"S021","Sistema Aquífero / Sistema Acuífero Guaraní","ARG","BRA","DA","DA"
"S021","Sistema Aquífero / Sistema Acuífero Guaraní","ARG","PRY","DA","DA"
"S021","Sistema Aquífero / Sistema Acuífero Guaraní","ARG","URY","DA","DA"
"S021","Sistema Aquífero / Sistema Acuífero Guaraní","BRA","PRY","DA","DA"
"S021","Sistema Aquífero / Sistema Acuífero Guaraní","BRA","URY","DA","DA"
"S022","Sistema Aquífero / Sistema Acuífero Arapey / Serra Geral","ARG","BRA","DA","DA"
"S022","Sistema Aquífero / Sistema Acuífero Arapey / Serra Geral","ARG","PRY","DA","DA"
"S022","Sistema Aquífero / Sistema Acuífero Arapey / Serra Geral","ARG","URY","DA","DA"
"S022","Sistema Aquífero / Sistema Acuífero Arapey / Serra Geral","BRA","PRY","DA","DA"
"S022","Sistema Aquífero / Sistema Acuífero Arapey / Serra Geral","BRA","URY","DA","DA"
"S023","Litoráneo-Chuy","BRA","URY","UB","DA"
"S024","Permo-Carbonífero","BRA","URY","DA","DA"
"S025","Litoral-Cretácico","ARG","URY","DA","DA"
"S026","Salto-Salto Chico","ARG","URY","DA","DA"
"S027","Puneños","ARG","BOL","IU0","IU0"
"S028","Sistema Acuífero Yrendá-Toba-Tarijeño (SAYTT)","ARG","BOL","DA","DA"
"S028","Sistema Acuífero Yrendá-Toba-Tarijeño (SAYTT)","ARG","PRY","UB","UB"
"S028","Sistema Acuífero Yrendá-Toba-Tarijeño (SAYTT)","BOL","PRY","UB","UB"
"S029","El Cóndor-Cañadón del Cóndor","ARG","CHL","IU1","IU1"
"S030","Salar de Ascotán","BOL","CHL","IU0","IU0"
"S031","Silala","BOL","CHL","IU0","IU0"
"S032","Laguna Blanca","BOL","CHL","IU0","IU0"
"S032","Laguna Blanca","CHL","PER","IU0","IU0"
